stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
1542905,46890030,"Lemelerveld, Evenemententerrein",52.447977,6.340306,0,stoparea:300597,null,null,null,null
1542886,46890040,"Lemelerveld, Handelsweg",52.437386,6.33396,0,stoparea:300584,null,null,null,null
2031330,46890050,"Lemelerveld, Handelsweg",52.437449,6.333902,0,stoparea:300584,null,null,null,null
866247,46430350,"Lemelerveld, Klipperstraat",52.445417,6.333411,0,stoparea:218877,null,1,null,null
1378665,46430500,"Lemelerveld, Klipperstraat",52.445382,6.333234,0,stoparea:218877,null,1,null,null
1544253,46430550,"Lemelerveld, Parallelstraat",52.44461,6.339851,0,stoparea:220393,null,1,null,null
1544249,46430700,"Lemelerveld, Parallelstraat",52.444627,6.339954,0,stoparea:220393,null,1,null,null
866568,46430450,"Lemelerveld, Posthoornweg",52.4419,6.335924,0,stoparea:218712,null,1,null,null
2031342,46430460,"Lemelerveld, Posthoornweg",52.441854,6.336085,0,stoparea:218712,null,null,null,null
1544233,46430600,"Lemelerveld, Posthoornweg",52.441766,6.33473,0,stoparea:218712,null,1,null,null
647960,66450160,"Lemiers, A je Striekiezer",50.787982,5.988997,0,stoparea:195724,null,1,null,null
647825,66450170,"Lemiers, A je Striekiezer",50.788462,5.98845,0,stoparea:195724,null,1,null,null
646898,66450180,"Lemiers, Lemiers",50.784944,5.994133,0,stoparea:196218,null,1,null,null
646733,66450190,"Lemiers, Lemiers",50.785305,5.993883,0,stoparea:196218,null,1,null,null
647560,66450200,"Lemiers, Lemierserberg",50.780689,6.001507,0,stoparea:196226,null,0,null,null
647689,66450210,"Lemiers, Lemierserberg",50.78165,6.000116,0,stoparea:196226,null,0,null,null
646652,66351200,"Lemiers, Mamelis",50.796903,5.972518,0,stoparea:195840,null,1,null,null
646526,66351300,"Lemiers, Mamelis",50.796903,5.972518,0,stoparea:195840,null,1,null,null
1894838,66450220,"Lemiers, Rijksweg/Harleserbeek",50.792717,5.98089,0,stoparea:343744,null,0,null,null
1894845,66450230,"Lemiers, Rijksweg/Harleserbeek",50.79287,5.980849,0,stoparea:343744,null,0,null,null
7865,24620310,"Lemmer, Begraafplaats",52.855085,5.717367,0,null,null,1,null,null
511324,24620320,"Lemmer, Begraafplaats",52.85512,5.717575,0,null,null,1,null,null
2220095,24620010,"Lemmer, Busstation",52.847724,5.721007,0,stoparea:355887,null,1,null,CXX:24620010
1479846,24620010,"Lemmer, Busstation",52.847534,5.721377,0,stoparea:790,null,1,null,null
678847,24620200,"Lemmer, Busstation",52.847741,5.721171,0,stoparea:201500,null,1,null,null
679034,24620210,"Lemmer, Busstation",52.847741,5.721171,0,stoparea:201500,null,1,null,null
1479722,24622000,"Lemmer, Busstation",52.847912,5.721246,0,stoparea:790,null,1,null,null
1480177,24622020,"Lemmer, Busstation",52.847804,5.721142,0,stoparea:790,null,1,null,null
1479824,24622050,"Lemmer, Busstation",52.847839,5.721394,0,stoparea:790,null,1,null,null
2218676,24625000,"Lemmer, Busstation",52.847706,5.721022,0,stoparea:355887,null,1,null,CXX:24625000
1479923,24625000,"Lemmer, Busstation",52.847677,5.721497,0,stoparea:790,null,1,null,null
6046,24620350,"Lemmer, Frieslandpark",52.849638,5.701027,0,null,null,1,null,null
5433,24620630,"Lemmer, Frieslandpark",52.849952,5.701281,0,null,null,1,null,null
7705,24620300,"Lemmer, Gemini",52.852803,5.703662,0,null,null,1,null,null
5674,24620330,"Lemmer, Gemini",52.852078,5.702618,0,null,null,1,null,null
2219679,24620130,"Lemmer, Houtmolen",52.843787,5.718098,0,stoparea:356295,null,0,null,CXX:24620130
519509,24620130,"Lemmer, Houtmolen",52.843805,5.718039,0,stoparea:1424,null,0,null,null
